opcode,name,source_release,static_contract,liblcf_enum,player_dispatch,player_handler,inventory_status,observation,runtime_acceptance,contract_file
3003,Load Save,250921,complete_for_documented_250921_modes,Maniac_Load,src/game_interpreter.cpp:765,Game_Interpreter::CommandManiacLoad,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03003.md
3004,End Load Process,250921,complete_for_documented_250921_modes,Maniac_EndLoadProcess,src/game_interpreter.cpp:769,Game_Interpreter::CommandManiacEndLoadProcess,confirmed_partial_or_gap,当前 handler 直接返回 true；报告描述原版读档完成标志及后续更新消费者。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03004.md
3005,Get Mouse Position,250921,complete_for_documented_250921_modes,Maniac_GetMousePosition,src/game_interpreter.cpp:771,Game_Interpreter::CommandManiacGetMousePosition,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03005.md
3006,Set Mouse Position,250921,complete_for_documented_250921_modes,Maniac_SetMousePosition,src/game_interpreter.cpp:773,Game_Interpreter::CommandManiacSetMousePosition,warning_stub,明确警告占位：SetMousePosition not supported。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03006.md
3007,Show String Picture,250921,complete_for_documented_250921_modes,Maniac_ShowStringPicture,src/game_interpreter.cpp:775,Game_Interpreter::CommandManiacShowStringPicture,existing_handler_semantics_unverified,已有文字图片；需逐字段核对 A23、文本段、字体、UTF-16 和渲染状态。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03007.md
3008,Get Picture Info,250921,complete_for_documented_250921_modes,Maniac_GetPictureInfo,src/game_interpreter.cpp:777,Game_Interpreter::CommandManiacGetPictureInfo,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03008.md
3009,Control Battle,250921,complete_for_documented_250921_modes,Maniac_ControlBattle,src/game_interpreter_battle.cpp:250,Game_Interpreter_Battle::CommandManiacControlBattle,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03009.md
3010,Control ATB Gauge,250921,complete_for_documented_250921_modes,Maniac_ControlAtbGauge,src/game_interpreter_battle.cpp:252,Game_Interpreter_Battle::CommandManiacControlAtbGauge,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03010.md
3011,Battle Command Extension,250921,complete_for_documented_250921_modes,Maniac_ChangeBattleCommandEx,src/game_interpreter_battle.cpp:254,Game_Interpreter_Battle::CommandManiacChangeBattleCommandEx,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03011.md
3012,Get Battle Info,250921,complete_for_documented_250921_modes,Maniac_GetBattleInfo,src/game_interpreter_battle.cpp:256,Game_Interpreter_Battle::CommandManiacGetBattleInfo,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03012.md
3013,Control Variable Array,250921,complete_for_documented_250921_modes,Maniac_ControlVarArray,src/game_interpreter.cpp:779,Game_Interpreter::CommandManiacControlVarArray,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03013.md
3014,Extended Key Input,250921,complete_for_documented_250921_modes,Maniac_KeyInputProcEx,src/game_interpreter.cpp:781,Game_Interpreter::CommandManiacKeyInputProcEx,existing_handler_semantics_unverified,当前实现明确警告 Joypad not supported；平台输入亦有限制。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03014.md
3015,Rewrite Map,250921,complete_for_documented_250921_modes,Maniac_RewriteMap,src/game_interpreter.cpp:783,Game_Interpreter::CommandManiacRewriteMap,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03015.md
3016,Control Shared Save,250921,complete_for_documented_250921_modes,Maniac_ControlGlobalSave,src/game_interpreter.cpp:785,Game_Interpreter::CommandManiacControlGlobalSave,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03016.md
3017,Change Picture ID,250921,complete_for_documented_250921_modes,Maniac_ChangePictureId,src/game_interpreter.cpp:787,Game_Interpreter::CommandManiacChangePictureId,warning_stub,明确警告占位：ChangePictureId not supported。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03017.md
3018,Set Game Option,250921,complete_for_documented_250921_modes,Maniac_SetGameOption,src/game_interpreter.cpp:789,Game_Interpreter::CommandManiacSetGameOption,confirmed_partial_or_gap,当前仅图片数量上限分支为空操作，其余 option 警告不支持。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03018.md
3019,Call Command,250921,complete_for_documented_250921_modes,Maniac_CallCommand,src/game_interpreter.cpp:793,Game_Interpreter::CommandManiacCallCommand,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03019.md
3020,RmStrvar,250921,complete_for_documented_250921_modes,Maniac_ControlStrings,src/game_interpreter.cpp:791,Game_Interpreter::CommandManiacControlStrings,existing_handler_semantics_unverified,已有字符串实现；需核对全部来源/操作、编码、正则、self 和原版分歧。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03020.md
3021,Get Game Info,250921,complete_for_documented_250921_modes,Maniac_GetGameInfo,src/game_interpreter.cpp:795,Game_Interpreter::CommandManiacGetGameInfo,confirmed_partial_or_gap,已有部分操作；Pixel Info / Command Interpreter State 明确未实现。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03021.md
3022,Expression,250921,complete_for_documented_250921_modes,,,,native_no_payload_effect_scheduling_unverified,原版独立执行不求值；共享表达式用于 10220/3019 等，需分别审计。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03022.md
3023,Reserved1,250921,complete_for_documented_250921_modes,,,,native_no_payload_effect_scheduling_unverified,原版直接返回成功，不消费参数；不能按显示名称添加执行逻辑。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03023.md
3024,Reserved2,250921,complete_for_documented_250921_modes,,,,native_no_payload_effect_scheduling_unverified,原版默认跳过；需核对解释器继续取指行为。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03024.md
3025,Edit Picture,250921,complete_for_documented_250921_modes,Maniac_EditPicture,,,missing_dispatch_for_runtime_effect,liblcf 有枚举，Player 三个事件解释器没有该 case；图片编辑待接入。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03025.md
3026,Output Picture,250921,complete_for_documented_250921_modes,Maniac_WritePicture,,,missing_dispatch_for_runtime_effect,liblcf 有枚举，Player 三个事件解释器没有该 case；图片输出待接入。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03026.md
3027,AddAction,250921,complete_for_documented_250921_modes,Maniac_AddMoveRoute,,,parent_consumer_required,原版独立执行为空操作；11330 应消费连续记录并编译动作。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03027.md
3028,Draw Tile On Picture,250921,complete_for_documented_250921_modes,Maniac_EditTile,,,missing_dispatch_for_runtime_effect,liblcf 有枚举，Player 三个事件解释器没有该 case；在图片上绘制图块待接入。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03028.md
3029,Control Message,250921,complete_for_documented_250921_modes,Maniac_ControlTextProcessing,,,missing_dispatch_for_runtime_effect,liblcf 有枚举，Player 三个事件解释器没有该 case；消息钩子待接入。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03029.md
3030,JavaScript,250921,complete_for_documented_250921_modes,,,,missing_dispatch_for_runtime_effect,缺少命令入口及已识别的嵌入式 JS 运行环境；报告未完整分析引擎内部和后续初始化。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03030.md
3031,JavaScript Continuation,250921,complete_for_documented_250921_modes,,,,parent_consumer_required,原版直接执行为空操作；启用的 3030 字面量来源应收集连续文本。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03031.md
3032,Zoom Screen,250921,complete_for_documented_250921_modes,,,,missing_dispatch_for_runtime_effect,没有对应 case；屏幕缩放参数和时序待接入。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03032.md
3033,Console,250921,complete_for_documented_250921_modes,,,,missing_dispatch_for_runtime_effect,没有对应 case；控制台状态及文本展开待接入。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03033.md
3034,Reserved,250921,complete_for_documented_250921_modes,,,,native_no_payload_effect_scheduling_unverified,原版显式返回成功，不消费参数。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03034.md
3035,DrawShape,250921,complete_for_documented_250921_modes,,,,native_no_payload_effect_scheduling_unverified,名称为 DrawShape，但该版本原版未执行形状绘制，走默认跳过。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03035.md
3036,Selfvar,250921,complete_for_documented_250921_modes,,,,missing_dispatch_for_runtime_effect,没有对应 case；需要持久化的全局/公共事件/地图事件/当前帧/调用者环境。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03036.md
3037,Change Troop Member,250921,complete_for_documented_250921_modes,,,,missing_dispatch_for_runtime_effect,没有对应 case；战斗队伍成员变更待接入。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03037.md
3038,Control Media Option,250921,complete_for_documented_250921_modes,,,,missing_dispatch_for_runtime_effect,没有对应 case；媒体选项读写及平台语义待接入。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/03038.md
5001,Open Load Menu,250921,complete_for_documented_250921_modes,OpenLoadMenu,src/game_interpreter_map.cpp:242,Game_Interpreter_Map::CommandOpenLoadMenu,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/05001.md
5002,Shutdown,250921,complete_for_documented_250921_modes,ExitGame,src/game_interpreter.cpp:757,Game_Interpreter::CommandExitGame,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/05002.md
5003,Toggle ATB Wait,250921,complete_for_documented_250921_modes,ToggleAtbMode,src/game_interpreter_map.cpp:244,Game_Interpreter_Map::CommandToggleAtbMode,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/05003.md
5004,Toggle Fullscreen,250921,complete_for_documented_250921_modes,ToggleFullscreen,src/game_interpreter.cpp:759,Game_Interpreter::CommandToggleFullscreen,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/05004.md
5005,Open Video Menu,250921,complete_for_documented_250921_modes,OpenVideoOptions,src/game_interpreter.cpp:761,Game_Interpreter::CommandOpenVideoOptions,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/05005.md
10110,Show Text,250921,complete_for_documented_250921_modes,ShowMessage,src/game_interpreter.cpp:592,Game_Interpreter::CommandShowMessage,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10110.md
10120,Text Options,250921,complete_for_documented_250921_modes,MessageOptions,src/game_interpreter.cpp:594,Game_Interpreter::CommandMessageOptions,confirmed_partial_or_gap,已有普通选项；src/game_interpreter.cpp:952 明确标记 Maniac 消息框尺寸/字体尚未实现。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10120.md
10130,Change Text Face,250921,complete_for_documented_250921_modes,ChangeFaceGraphic,src/game_interpreter.cpp:596,Game_Interpreter::CommandChangeFaceGraphic,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10130.md
10140,Show Choices,250921,complete_for_documented_250921_modes,ShowChoice,src/game_interpreter.cpp:598,Game_Interpreter::CommandShowChoices,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10140.md
10150,Input Number,250921,complete_for_documented_250921_modes,InputNumber,src/game_interpreter.cpp:604,Game_Interpreter::CommandInputNumber,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10150.md
10210,Control Switches,250921,complete_for_documented_250921_modes,ControlSwitches,src/game_interpreter.cpp:606,Game_Interpreter::CommandControlSwitches,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10210.md
10220,ControlVariables,250921,complete_for_documented_250921_modes,ControlVars,src/game_interpreter.cpp:608,Game_Interpreter::CommandControlVariables,existing_handler_semantics_unverified,已有扩展；需对照全部目标/来源模式、self 引用与表达式副作用。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10220.md
10230,Timer,250921,complete_for_documented_250921_modes,TimerOperation,src/game_interpreter.cpp:610,Game_Interpreter::CommandTimerOperation,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10230.md
10310,Money,250921,complete_for_documented_250921_modes,ChangeGold,src/game_interpreter.cpp:612,Game_Interpreter::CommandChangeGold,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10310.md
10320,Item,250921,complete_for_documented_250921_modes,ChangeItems,src/game_interpreter.cpp:614,Game_Interpreter::CommandChangeItems,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10320.md
10330,Change Party Member,250921,complete_for_documented_250921_modes,ChangePartyMembers,src/game_interpreter.cpp:616,Game_Interpreter::CommandChangePartyMember,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10330.md
10410,EXP,250921,complete_for_documented_250921_modes,ChangeExp,src/game_interpreter.cpp:618,Game_Interpreter::CommandChangeExp,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10410.md
10420,Change Level,250921,complete_for_documented_250921_modes,ChangeLevel,src/game_interpreter.cpp:620,Game_Interpreter::CommandChangeLevel,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10420.md
10430,Parameter,250921,complete_for_documented_250921_modes,ChangeParameters,src/game_interpreter.cpp:622,Game_Interpreter::CommandChangeParameters,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10430.md
10440,Skill,250921,complete_for_documented_250921_modes,ChangeSkills,src/game_interpreter.cpp:624,Game_Interpreter::CommandChangeSkills,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10440.md
10450,Equipment,250921,complete_for_documented_250921_modes,ChangeEquipment,src/game_interpreter.cpp:626,Game_Interpreter::CommandChangeEquipment,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10450.md
10460,HP,250921,complete_for_documented_250921_modes,ChangeHP,src/game_interpreter.cpp:628,Game_Interpreter::CommandChangeHP,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10460.md
10470,MP,250921,complete_for_documented_250921_modes,ChangeSP,src/game_interpreter.cpp:630,Game_Interpreter::CommandChangeSP,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10470.md
10480,Change State,250921,complete_for_documented_250921_modes,ChangeCondition,src/game_interpreter.cpp:632,Game_Interpreter::CommandChangeCondition,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10480.md
10490,Recover All,250921,complete_for_documented_250921_modes,FullHeal,src/game_interpreter.cpp:634,Game_Interpreter::CommandFullHeal,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10490.md
10500,Damage Processing,250921,complete_for_documented_250921_modes,SimulatedAttack,src/game_interpreter.cpp:636,Game_Interpreter::CommandSimulatedAttack,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10500.md
10610,Change Actor Name,250921,complete_for_documented_250921_modes,ChangeHeroName,src/game_interpreter.cpp:653,Game_Interpreter::CommandChangeHeroName,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10610.md
10620,Change Actor Nickname,250921,complete_for_documented_250921_modes,ChangeHeroTitle,src/game_interpreter.cpp:655,Game_Interpreter::CommandChangeHeroTitle,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10620.md
10630,Change Actor Graphic,250921,complete_for_documented_250921_modes,ChangeSpriteAssociation,src/game_interpreter.cpp:657,Game_Interpreter::CommandChangeSpriteAssociation,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10630.md
10640,Change Actor Face,250921,complete_for_documented_250921_modes,ChangeActorFace,src/game_interpreter.cpp:659,Game_Interpreter::CommandChangeActorFace,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10640.md
10650,Change Vehicle Graphic,250921,complete_for_documented_250921_modes,ChangeVehicleGraphic,src/game_interpreter.cpp:661,Game_Interpreter::CommandChangeVehicleGraphic,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10650.md
10660,Change System BGM,250921,complete_for_documented_250921_modes,ChangeSystemBGM,src/game_interpreter.cpp:663,Game_Interpreter::CommandChangeSystemBGM,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10660.md
10670,Change System Sound,250921,complete_for_documented_250921_modes,ChangeSystemSFX,src/game_interpreter.cpp:665,Game_Interpreter::CommandChangeSystemSFX,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10670.md
10680,Change System Graphic,250921,complete_for_documented_250921_modes,ChangeSystemGraphics,src/game_interpreter.cpp:667,Game_Interpreter::CommandChangeSystemGraphics,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10680.md
10690,Set Transition,250921,complete_for_documented_250921_modes,ChangeScreenTransitions,src/game_interpreter.cpp:669,Game_Interpreter::CommandChangeScreenTransitions,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10690.md
10710,Battle,250921,complete_for_documented_250921_modes,EnemyEncounter,src/game_interpreter_map.cpp:190,Game_Interpreter_Map::CommandEnemyEncounter,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10710.md
10720,Shop,250921,complete_for_documented_250921_modes,OpenShop,src/game_interpreter_map.cpp:204,Game_Interpreter_Map::CommandOpenShop,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10720.md
10730,Inn,250921,complete_for_documented_250921_modes,ShowInn,src/game_interpreter_map.cpp:212,Game_Interpreter_Map::CommandShowInn,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10730.md
10740,Name Entry,250921,complete_for_documented_250921_modes,EnterHeroName,src/game_interpreter_map.cpp:220,Game_Interpreter_Map::CommandEnterHeroName,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10740.md
10810,Transfer Player,250921,complete_for_documented_250921_modes,Teleport,src/game_interpreter_map.cpp:222,Game_Interpreter_Map::CommandTeleport,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10810.md
10820,Store Place,250921,complete_for_documented_250921_modes,MemorizeLocation,src/game_interpreter.cpp:671,Game_Interpreter::CommandMemorizeLocation,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10820.md
10830,Restore Place,250921,complete_for_documented_250921_modes,RecallToLocation,src/game_interpreter_map.cpp:188,Game_Interpreter_Map::CommandRecallToLocation,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10830.md
10840,Ride Vehicle,250921,complete_for_documented_250921_modes,EnterExitVehicle,src/game_interpreter_map.cpp:224,Game_Interpreter_Map::CommandEnterExitVehicle,existing_handler_semantics_unverified,本轮只核对分派位置，尚未逐参数/子模式比对。,not_performed_in_this_assessment,../../RPGRewriter-maniac/analysis/Maniacs-Complete/commands/10840.md
